"","timestamp","id","group","action","duration","Experiment","date","DOW","Pageviews","Clicks"
"1",2016-09-24 17:42:27,804196,"experiment","view",NA,1,2016-09-24,7,1,0
"2",2016-09-24 19:19:03,434745,"experiment","view",NA,1,2016-09-24,7,1,0
"3",2016-09-24 19:36:00,507599,"experiment","view",NA,1,2016-09-24,7,1,0
"4",2016-09-24 19:59:02,671993,"control","view",NA,0,2016-09-24,7,1,0
"5",2016-09-24 20:26:14,536734,"experiment","view",NA,1,2016-09-24,7,1,0
"6",2016-09-24 20:32:25,681598,"experiment","view",NA,1,2016-09-24,7,1,0
"7",2016-09-24 20:39:03,522116,"experiment","view",NA,1,2016-09-24,7,1,0
"8",2016-09-24 20:57:20,349125,"experiment","view",1899-12-31 00:00:42,1,2016-09-24,7,1,0
"9",2016-09-24 20:58:01,349125,"experiment","click",NA,1,2016-09-24,7,0,1
"10",2016-09-24 21:00:12,560027,"control","view",1899-12-31 00:01:13,0,2016-09-24,7,1,0
"11",2016-09-24 21:00:41,265695,"experiment","view",NA,1,2016-09-24,7,1,0
"12",2016-09-24 21:05:15,601714,"experiment","view",1899-12-31 00:01:13,1,2016-09-24,7,1,0
"13",2016-09-24 21:06:27,601714,"experiment","click",NA,1,2016-09-24,7,0,1
"14",2016-09-24 21:09:09,416862,"experiment","view",1899-12-31 00:00:04,1,2016-09-24,7,1,0
"15",2016-09-24 21:29:19,487634,"experiment","view",1899-12-31 00:00:43,1,2016-09-24,7,1,0
"16",2016-09-24 21:30:02,487634,"experiment","click",NA,1,2016-09-24,7,0,1
"17",2016-09-24 23:01:08,468601,"experiment","view",1899-12-31 00:00:04,1,2016-09-24,7,1,0
"18",2016-09-24 23:01:12,468601,"experiment","click",NA,1,2016-09-24,7,0,1
"19",2016-09-24 23:08:35,293251,"experiment","view",NA,1,2016-09-24,7,1,0
"20",2016-09-24 23:50:31,515303,"experiment","view",1899-12-31 00:00:29,1,2016-09-24,7,1,0
"21",2016-09-25 00:00:47,555973,"experiment","view",1899-12-31 00:01:01,1,2016-09-25,1,1,0
"22",2016-09-25 00:01:47,555973,"experiment","click",NA,1,2016-09-25,1,0,1
"23",2016-09-25 00:06:13,756950,"experiment","view",NA,1,2016-09-25,1,1,0
"24",2016-09-25 00:25:14,281985,"control","view",1899-12-31 00:01:35,0,2016-09-25,1,1,0
"25",2016-09-25 01:14:48,407864,"control","view",NA,0,2016-09-25,1,1,0
"26",2016-09-25 02:16:11,342984,"control","view",1900-02-28 23:00:46,0,2016-09-25,1,1,0
"27",2016-09-25 02:41:58,716544,"control","view",NA,0,2016-09-25,1,1,0
"28",2016-09-25 02:52:43,398892,"control","view",1899-12-31 00:00:42,0,2016-09-25,1,1,0
"29",2016-09-25 02:53:25,398892,"control","click",NA,0,2016-09-25,1,0,1
"30",2016-09-25 03:28:47,444902,"experiment","view",1899-12-31 00:00:29,1,2016-09-25,1,1,0
"31",2016-09-25 03:29:16,444902,"experiment","click",NA,1,2016-09-25,1,0,1
"32",2016-09-25 03:50:39,769969,"control","view",1899-12-31 00:01:06,0,2016-09-25,1,1,0
"33",2016-09-25 03:50:49,462225,"control","view",NA,0,2016-09-25,1,1,0
"34",2016-09-25 03:51:40,710625,"experiment","view",1899-12-31 00:01:02,1,2016-09-25,1,1,0
"35",2016-09-25 03:53:07,667387,"control","view",NA,0,2016-09-25,1,1,0
"36",2016-09-25 04:14:28,588929,"experiment","view",1899-12-31 00:01:40,1,2016-09-25,1,1,0
"37",2016-09-25 05:18:58,544571,"control","view",1899-12-31 00:00:18,0,2016-09-25,1,1,0
"38",2016-09-25 05:19:15,544571,"control","click",NA,0,2016-09-25,1,0,1
"39",2016-09-25 05:21:26,824613,"control","view",NA,0,2016-09-25,1,1,0
"40",2016-09-25 05:42:34,269335,"experiment","view",1899-12-31 00:01:35,1,2016-09-25,1,1,0
"41",2016-09-25 05:44:09,269335,"experiment","click",NA,1,2016-09-25,1,0,1
"42",2016-09-25 05:47:10,199091,"control","view",1899-12-31 00:01:01,0,2016-09-25,1,1,0
"43",2016-09-25 06:02:34,694237,"experiment","view",NA,1,2016-09-25,1,1,0
"44",2016-09-25 06:36:22,685428,"experiment","view",1899-12-31 00:00:18,1,2016-09-25,1,1,0
